幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.83500,31.16000,31.17200,31.11700,31.04800,30.98500,30.91800,30.84800,30.78700,本行賣出,31.50500,31.31000,31.27600,31.22500,31.16600,31.11100,31.05100,30.99100,30.93400,
HKD,本行買入,3.85700,3.97800,3.98100,3.97600,3.97100,3.96600,3.96000,3.95400,3.94700,本行賣出,4.06100,4.04800,4.04100,4.03800,4.03300,4.02900,4.02400,4.01900,4.01400,
GBP,本行買入,40.45000,41.34500,41.48200,41.40500,41.31700,41.23600,41.14600,41.05600,40.96600,本行賣出,42.57000,41.97500,41.89800,41.85300,41.76500,41.68700,41.61100,41.53500,41.45900,
AUD,本行買入,20.36000,20.57500,20.57200,20.53600,20.49400,20.45600,20.41200,20.36700,20.32100,本行賣出,21.14000,20.92000,20.78200,20.76500,20.72500,20.68700,20.65100,20.61200,20.57400,
CAD,本行買入,22.12000,22.45000,22.29400,22.28100,22.26500,22.25000,22.23000,22.20900,22.18900,本行賣出,23.03000,22.78000,22.49800,22.49500,22.48100,22.46600,22.45400,22.44300,22.43100,
SGD,本行買入,23.53000,24.00000,24.02600,24.01900,24.01900,24.02000,24.01300,24.00700,24.00100,本行賣出,24.44000,24.22000,24.21500,24.22500,24.22800,24.22800,24.23200,24.23500,24.23900,
CHF,本行買入,38.02000,38.63000,38.80000,38.83900,38.87600,38.91800,38.95700,38.99800,39.03800,本行賣出,39.22000,39.02000,39.05900,39.11600,39.15400,39.19700,39.25300,39.30900,39.36600,
JPY,本行買入,0.19190,0.19870,0.20010,0.20020,0.20030,0.20040,0.20050,0.20060,0.20060,本行賣出,0.20470,0.20370,0.20420,0.20440,0.20460,0.20470,0.20490,0.20500,0.20520,
ZAR,本行買入,0.00000,1.80100,1.80000,1.79400,1.78500,1.77800,1.77000,1.76200,1.75400,本行賣出,0.00000,1.89100,1.88100,1.87600,1.86800,1.86100,1.85300,1.84600,1.83800,
SEK,本行買入,0.00000,3.27000,3.26900,3.26700,3.26600,3.26400,3.26200,3.26000,3.25700,本行賣出,0.00000,3.39000,3.37000,3.37100,3.37000,3.36900,3.36800,3.36700,3.36500,
NZD,本行買入,17.56000,17.89000,17.93100,17.91400,17.89600,17.88100,17.86200,17.84300,17.82400,本行賣出,18.41000,18.19000,18.14000,18.13900,18.12200,18.10800,18.09500,18.08200,18.06900,
THB,本行買入,0.85150,0.96190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04150,1.00790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.56000,36.07500,36.23000,36.21000,36.18600,36.16600,36.13900,36.11100,36.06700,本行賣出,36.90000,36.67500,36.63800,36.63400,36.61600,36.60300,36.58900,36.57500,36.56000,
KRW,本行買入,0.01946,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02336,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.57200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.09700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.32300,4.39000,4.39410,4.39220,4.39110,4.39000,4.38780,4.38490,4.38330,本行賣出,4.48500,4.45000,4.44540,4.44630,4.44570,4.44470,4.44400,4.44330,4.44260,
