幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.13000,31.45500,31.46600,31.40800,31.34100,31.27700,31.21400,31.15200,31.09100,本行賣出,31.80000,31.60500,31.57000,31.51700,31.46000,31.40300,31.34700,31.29300,31.23800,
HKD,本行買入,3.89600,4.01700,4.02000,4.01500,4.01000,4.00500,3.99900,3.99300,3.98600,本行賣出,4.10000,4.08700,4.08000,4.07700,4.07200,4.06800,4.06300,4.05800,4.05300,
GBP,本行買入,40.99000,41.88500,41.93200,41.85500,41.76700,41.68600,41.59600,41.50600,41.41600,本行賣出,43.11000,42.51500,42.34800,42.30300,42.21500,42.13700,42.06100,41.98500,41.90900,
AUD,本行買入,20.46000,20.67500,20.70200,20.66600,20.62400,20.58600,20.54200,20.49700,20.45100,本行賣出,21.24000,21.02000,20.91200,20.89500,20.85500,20.81700,20.78100,20.74200,20.70400,
CAD,本行買入,22.36000,22.69000,22.76400,22.75100,22.73500,22.72000,22.70000,22.67900,22.65900,本行賣出,23.27000,23.02000,22.96800,22.96500,22.95100,22.93600,22.92400,22.91300,22.90100,
SGD,本行買入,23.81000,24.28000,24.30600,24.29900,24.29900,24.30000,24.29300,24.28700,24.28100,本行賣出,24.72000,24.50000,24.49500,24.50500,24.50800,24.50800,24.51200,24.51500,24.51900,
CHF,本行買入,38.83000,39.44000,39.51000,39.54900,39.58600,39.62800,39.66700,39.70800,39.74800,本行賣出,40.03000,39.83000,39.76900,39.82600,39.86400,39.90700,39.96300,40.01900,40.07600,
JPY,本行買入,0.19070,0.19750,0.19910,0.19920,0.19930,0.19940,0.19950,0.19950,0.19960,本行賣出,0.20350,0.20250,0.20320,0.20340,0.20350,0.20370,0.20380,0.20400,0.20420,
ZAR,本行買入,0.00000,1.83500,1.83700,1.83100,1.82200,1.81500,1.80700,1.79900,1.79100,本行賣出,0.00000,1.92500,1.91800,1.91300,1.90500,1.89800,1.89000,1.88300,1.87500,
SEK,本行買入,0.00000,3.35000,3.33900,3.33700,3.33600,3.33400,3.33200,3.33000,3.32700,本行賣出,0.00000,3.47000,3.44000,3.44100,3.44000,3.43900,3.43800,3.43700,3.43500,
NZD,本行買入,17.68000,18.01000,18.02100,18.00400,17.98600,17.97100,17.95200,17.93300,17.91400,本行賣出,18.53000,18.31000,18.23000,18.22900,18.21200,18.19800,18.18500,18.17200,18.15900,
THB,本行買入,0.87510,0.98550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.06510,1.03150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47180,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60380,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.12000,36.63500,36.71800,36.69300,36.66800,36.65200,36.62100,36.59000,36.54100,本行賣出,37.46000,37.23500,37.12700,37.12200,37.10300,37.09100,37.07700,37.06300,37.04900,
KRW,本行買入,0.01963,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02353,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.70800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.23300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.38700,4.45400,4.45520,4.45370,4.45330,4.45260,4.45020,4.44730,4.44540,本行賣出,4.54900,4.51400,4.50610,4.50620,4.50590,4.50500,4.50460,4.50430,4.50390,
