幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.83500,31.16000,31.17200,31.11700,31.04800,30.98500,30.91800,30.84800,30.78700,本行賣出,31.50500,31.31000,31.27600,31.22500,31.16600,31.11100,31.05100,30.99100,30.93400,
HKD,本行買入,3.85700,3.97800,3.98100,3.97600,3.97100,3.96600,3.96000,3.95400,3.94700,本行賣出,4.06100,4.04800,4.04100,4.03800,4.03300,4.02900,4.02400,4.01900,4.01400,
GBP,本行買入,40.45000,41.34500,41.48200,41.40500,41.31700,41.23600,41.14600,41.05600,40.96600,本行賣出,42.57000,41.97500,41.89800,41.85300,41.76500,41.68700,41.61100,41.53500,41.45900,
AUD,本行買入,20.36000,20.57500,20.57200,20.53600,20.49400,20.45600,20.41200,20.36700,20.32100,本行賣出,21.14000,20.92000,20.78200,20.76500,20.72500,20.68700,20.65100,20.61200,20.57400,
CAD,本行買入,22.12000,22.45000,22.29400,22.28100,22.26500,22.25000,22.23000,22.20900,22.18900,本行賣出,23.03000,22.78000,22.49800,22.49500,22.48100,22.46600,22.45400,22.44300,22.43100,
SGD,本行買入,23.53000,24.00000,24.02600,24.01900,24.01900,24.02000,24.01300,24.00700,24.00100,本行賣出,24.44000,24.22000,24.21500,24.22500,24.22800,24.22800,24.23200,24.23500,24.23900,
CHF,本行買入,38.02000,38.63000,38.80000,38.83900,38.87600,38.91800,38.95700,38.99800,39.03800,本行賣出,39.22000,39.02000,39.05900,39.11600,39.15400,39.19700,39.25300,39.30900,39.36600,
JPY,本行買入,0.19190,0.19870,0.20010,0.20020,0.20030,0.20040,0.20050,0.20060,0.20060,本行賣出,0.20470,0.20370,0.20420,0.20440,0.20460,0.20470,0.20490,0.20500,0.20520,
ZAR,本行買入,0.00000,1.80100,1.80000,1.79400,1.78500,1.77800,1.77000,1.76200,1.75400,本行賣出,0.00000,1.89100,1.88100,1.87600,1.86800,1.86100,1.85300,1.84600,1.83800,
SEK,本行買入,0.00000,3.27000,3.26900,3.26700,3.26600,3.26400,3.26200,3.26000,3.25700,本行賣出,0.00000,3.39000,3.37000,3.37100,3.37000,3.36900,3.36800,3.36700,3.36500,
NZD,本行買入,17.56000,17.89000,17.93100,17.91400,17.89600,17.88100,17.86200,17.84300,17.82400,本行賣出,18.41000,18.19000,18.14000,18.13900,18.12200,18.10800,18.09500,18.08200,18.06900,
THB,本行買入,0.85150,0.96190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04150,1.00790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.56000,36.07500,36.23000,36.21000,36.18600,36.16600,36.13900,36.11100,36.06700,本行賣出,36.90000,36.67500,36.63800,36.63400,36.61600,36.60300,36.58900,36.57500,36.56000,
KRW,本行買入,0.01946,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02336,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.57200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.09700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.32300,4.39000,4.39410,4.39220,4.39110,4.39000,4.38780,4.38490,4.38330,本行賣出,4.48500,4.45000,4.44540,4.44630,4.44570,4.44470,4.44400,4.44330,4.44260,
美金 (USD),30.755,31.425
港幣 (HKD),3.847,4.051
英鎊 (GBP),40.48,42.6
澳幣 (AUD),20.35,21.13
加拿大幣 (CAD),22.15,23.06
新加坡幣 (SGD),23.54,24.45
瑞士法郎 (CHF),38.37,39.57
日圓 (JPY),0.1908,0.2036
南非幣 (ZAR),0.0,0.0
瑞典幣 (SEK),0.0,0.0
紐元 (NZD),17.61,18.46
泰幣 (THB),0.8586,1.0486
菲國比索 (PHP),0.4614,0.5934
印尼幣 (IDR),0.00148,0.00218
歐元 (EUR),35.76,37.1
韓元 (KRW),0.01935,0.02325
越南盾 (VND),0.00094,0.00135
馬來幣 (MYR),6.572,8.097
人民幣 (CNY),4.322,4.484
,,,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,2308.TW,2308.TW,2308.TW,2308.TW,2308.TW,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW
台積電,2330.TW,2010-01-04,39.94198989868164,40.0035328562983,39.38809388927832,40.0035328562983,39407000.0,,,,,,,,,,
台積電,2330.TW,2010-01-05,39.69581604003906,40.065078505977276,39.32655357410084,40.00353554422541,37138000.0,,,,,,,,,,
台積電,2330.TW,2010-01-06,39.94198989868164,39.94198989868164,39.203462668715,39.69581337278831,49261000.0,,,,,,,,,,
台積電,2330.TW,2010-01-07,39.51118469238281,40.003537805077755,39.51118469238281,39.9419948398477,42134000.0,,,,,,,,,,
台積電,2330.TW,2010-01-08,39.38808822631836,39.57272176804963,39.08036878705025,39.08036878705025,46076000.0,,,,,,,,,,
台積電,2330.TW,2010-01-11,39.69581604003906,39.94199258247354,39.08037703166636,39.38809653585271,36799000.0,,,,,,,,,,
台積電,2330.TW,2010-01-12,39.14191818237305,39.63427124446147,38.95728695794658,39.63427124446147,49853000.0,,,,,,,,,,
台積電,2330.TW,2010-01-13,38.649574279785156,38.834205536751924,38.52648599256938,38.772662567000935,47976000.0,,,,,,,,,,
台積電,2330.TW,2010-01-14,38.895755767822266,39.14193002563861,38.77266746505704,39.14193002563861,36149000.0,,,,,,,,,,
台積電,2330.TW,2010-01-15,39.08037567138672,39.08037567138672,38.649567910978355,38.711113218301506,47852000.0,,,,,,,,,,
台積電,2330.TW,2010-01-18,38.711116790771484,38.83420272134997,38.649571477768596,38.649571477768596,30136000.0,,,,,,,,,,
台積電,2330.TW,2010-01-19,38.46493148803711,38.89573919024575,38.15721203613281,38.77265093994141,47202000.0,,,,,,,,,,
台積電,2330.TW,2010-01-20,38.77265167236328,38.89573992499278,38.28030100955844,38.711108719905106,52281000.0,,,,,,,,,,
台積電,2330.TW,2010-01-21,38.5264778137207,38.77265433589105,38.218758334864425,38.77265433589105,24738000.0,,,,,,,,,,
台積電,2330.TW,2010-01-22,37.60332489013672,37.97258972752978,37.54178192442804,37.849501448398755,63918000.0,,,,,,,,,,
台積電,2330.TW,2010-01-25,37.17250442504883,37.4186785361958,36.987870907047714,36.987870907047714,62151000.0,,,,,,,,,,
台積電,2330.TW,2010-01-26,36.987876892089844,37.664861089641036,36.92633394127296,37.29559634160045,79112000.0,,,,,,,,,,
台積電,2330.TW,2010-01-27,36.6801643371582,37.17251742709068,36.618621374773404,36.98788384450924,52639000.0,,,,,,,,,,
台積電,2330.TW,2010-01-28,36.92634582519531,37.849504470825195,36.80325753623522,37.2340653737386,43988000.0,,,,,,,,,,
台積電,2330.TW,2010-01-29,37.84950256347656,37.84950256347656,36.55708146380919,36.98788693188917,91560000.0,,,,,,,,,,
台積電,2330.TW,2010-02-01,36.80323791503906,37.35713374619974,36.6186067538897,37.35713374619974,75480000.0,,,,,,,,,,
台積電,2330.TW,2010-02-02,36.31089782714844,37.172513290945744,36.31089782714844,37.04942503215852,65510000.0,,,,,,,,,,
台積電,2330.TW,2010-02-03,36.80323791503906,37.11095729952553,36.187799146066126,37.049414361713275,42426000.0,,,,,,,,,,
台積電,2330.TW,2010-02-04,36.37244415283203,36.92634019484002,36.31090119159269,36.92634019484002,42564000.0,,,,,,,,,,
台積電,2330.TW,2010-02-05,35.20311737060547,35.633925214811605,35.20311737060547,35.44929160464192,62227000.0,,,,,,,,,,
台積電,2330.TW,2010-02-08,35.32619857788086,35.8185492949416,35.080022045493784,35.69546102874806,45247000.0,,,,,,,,,,
台積電,2330.TW,2010-02-09,36.064720153808594,36.43398491833645,35.510826528586605,35.941634246679165,45754000.0,,,,,,,,,,
台積電,2330.TW,2010-02-10,35.94162368774414,36.433974214758614,35.8185354690624,36.31088599607687,53679000.0,,,,,,,,,,
台積電,2330.TW,2010-02-22,36.31089782714844,37.23405624648272,36.31089782714844,37.23405624648272,47519000.0,,,,,,,,,,
台積電,2330.TW,2010-02-23,36.80323791503906,36.86478320056391,36.37243030721549,36.680149691701956,50343000.0,,,,,,,,,,
台積電,2330.TW,2010-02-24,36.00318908691406,36.433996947240445,35.941646113030565,36.433996947240445,54884000.0,,,,,,,,,,
台積電,2330.TW,2010-02-25,35.818546295166016,36.24935401690688,35.633915085195135,36.0031775051369,55655000.0,,,,,,,,,,
台積電,2330.TW,2010-02-26,36.18781280517578,36.24935811393094,35.6954620737019,35.818550343498735,30877000.0,,,,,,,,,,
台積電,2330.TW,2010-03-01,36.6801643371582,36.86479791973965,35.81855112520341,36.618621374773404,60146000.0,,,,,,,,,,
台積電,2330.TW,2010-03-02,36.86479949951172,37.234061985071605,36.61862294399604,37.234061985071605,53495000.0,,,,,,,,,,
台積電,2330.TW,2010-03-03,36.92634582519531,36.987888795818435,36.68016924727514,36.68016924727514,32150000.0,,,,,,,,,,
台積電,2330.TW,2010-03-04,36.43398666381836,36.80324909832367,35.94163596857351,36.80324909832367,53405000.0,,,,,,,,,,
台積電,2330.TW,2010-03-05,37.17250442504883,37.17250442504883,36.68015150732948,36.80323973675931,59062000.0,,,,,,,,,,
台積電,2330.TW,2010-03-08,37.66485595703125,37.66485595703125,37.29559125931056,37.48022478202729,43993000.0,,,,,,,,,,
