日期,幣別,現金買入,現金賣出,即期買入,即期賣出
2025-12-06,AUD,20.36000,,20.57500,
2025-12-06,CAD,22.12000,,22.45000,
2025-12-06,CHF,38.02000,,38.63000,
2025-12-06,CNY,4.32300,,4.39000,
2025-12-06,EUR,35.56000,,36.07500,
2025-12-06,GBP,40.45000,,41.34500,
2025-12-06,HKD,3.85700,,3.97800,
2025-12-06,IDR,0.00148,,0.00000,
2025-12-06,JPY,0.19190,,0.19870,
2025-12-06,KRW,0.01946,,0.00000,
2025-12-06,MYR,6.57200,,0.00000,
2025-12-06,NZD,17.56000,,17.89000,
2025-12-06,PHP,0.46410,,0.00000,
2025-12-06,SEK,0.00000,,3.27000,
2025-12-06,SGD,23.53000,,24.00000,
2025-12-06,THB,0.85150,,0.96190,
2025-12-06,USD,30.83500,,31.16000,
2025-12-06,VND,0.00094,,0.00000,
2025-12-06,ZAR,0.00000,,1.80100,
2025-12-20,人民幣 (CNY),4.322,4.484,4.389,
2025-12-20,加拿大幣 (CAD),22.15,23.06,22.48,
2025-12-20,南非幣 (ZAR),-,-,1.804,
2025-12-20,印尼幣 (IDR),0.00148,0.00218,-,
2025-12-20,新加坡幣 (SGD),23.54,24.45,24.01,
2025-12-20,日圓 (JPY),0.1908,0.2036,0.1976,
2025-12-20,歐元 (EUR),35.76,37.1,36.275,
2025-12-20,泰幣 (THB),0.8586,1.0486,0.969,
2025-12-20,港幣 (HKD),3.847,4.051,3.968,
2025-12-20,澳幣 (AUD),20.35,21.13,20.565,
2025-12-20,瑞典幣 (SEK),-,-,3.31,
2025-12-20,瑞士法郎 (CHF),38.37,39.57,38.98,
2025-12-20,紐元 (NZD),17.61,18.46,17.94,
2025-12-20,美金 (USD),30.755,31.425,31.08,
2025-12-20,英鎊 (GBP),40.48,42.6,41.375,
2025-12-20,菲國比索 (PHP),0.4614,0.5934,-,
2025-12-20,越南盾 (VND),0.00094,0.00135,-,
2025-12-20,韓元 (KRW),0.01935,0.02325,-,
2025-12-20,馬來幣 (MYR),6.572,8.097,-,
2025-12-25,人民幣 (CNY),4.322,4.484,4.389,
2025-12-25,加拿大幣 (CAD),22.15,23.06,22.48,
2025-12-25,南非幣 (ZAR),-,-,1.804,
2025-12-25,印尼幣 (IDR),0.00148,0.00218,-,
2025-12-25,新加坡幣 (SGD),23.54,24.45,24.01,
2025-12-25,日圓 (JPY),0.1908,0.2036,0.1976,
2025-12-25,歐元 (EUR),35.76,37.1,36.275,
2025-12-25,泰幣 (THB),0.8586,1.0486,0.969,
2025-12-25,港幣 (HKD),3.847,4.051,3.968,
2025-12-25,澳幣 (AUD),20.35,21.13,20.565,
2025-12-25,瑞典幣 (SEK),-,-,3.31,
2025-12-25,瑞士法郎 (CHF),38.37,39.57,38.98,
2025-12-25,紐元 (NZD),17.61,18.46,17.94,
2025-12-25,美金 (USD),30.755,31.425,31.08,
2025-12-25,英鎊 (GBP),40.48,42.6,41.375,
2025-12-25,菲國比索 (PHP),0.4614,0.5934,-,
2025-12-25,越南盾 (VND),0.00094,0.00135,-,
2025-12-25,韓元 (KRW),0.01935,0.02325,-,
2025-12-25,馬來幣 (MYR),6.572,8.097,-,
2025-12-28,AUD,20.46000,,20.67500,
2025-12-28,CAD,22.36000,,22.69000,
2025-12-28,CHF,38.83000,,39.44000,
2025-12-28,CNY,4.38700,,4.45400,
2025-12-28,EUR,36.12000,,36.63500,
2025-12-28,GBP,40.99000,,41.88500,
2025-12-28,HKD,3.89600,,4.01700,
2025-12-28,IDR,0.00148,,0.00000,
2025-12-28,JPY,0.19070,,0.19750,
2025-12-28,KRW,0.01963,,0.00000,
2025-12-28,MYR,6.70800,,0.00000,
2025-12-28,NZD,17.68000,,18.01000,
2025-12-28,PHP,0.47180,,0.00000,
2025-12-28,SEK,0.00000,,3.35000,
2025-12-28,SGD,23.81000,,24.28000,
2025-12-28,THB,0.87510,,0.98550,
2025-12-28,USD,31.13000,,31.45500,
2025-12-28,VND,0.00095,,0.00000,
2025-12-28,ZAR,0.00000,,1.83500,
2026-01-03,人民幣 (CNY),4.322,4.484,4.389,
2026-01-03,加拿大幣 (CAD),22.15,23.06,22.48,
2026-01-03,南非幣 (ZAR),-,-,1.804,
2026-01-03,印尼幣 (IDR),0.00148,0.00218,-,
2026-01-03,新加坡幣 (SGD),23.54,24.45,24.01,
2026-01-03,日圓 (JPY),0.1908,0.2036,0.1976,
2026-01-03,歐元 (EUR),35.76,37.1,36.275,
2026-01-03,泰幣 (THB),0.8586,1.0486,0.969,
2026-01-03,港幣 (HKD),3.847,4.051,3.968,
2026-01-03,澳幣 (AUD),20.35,21.13,20.565,
2026-01-03,瑞典幣 (SEK),-,-,3.31,
2026-01-03,瑞士法郎 (CHF),38.37,39.57,38.98,
2026-01-03,紐元 (NZD),17.61,18.46,17.94,
2026-01-03,美金 (USD),30.755,31.425,31.08,
2026-01-03,英鎊 (GBP),40.48,42.6,41.375,
2026-01-03,菲國比索 (PHP),0.4614,0.5934,-,
2026-01-03,越南盾 (VND),0.00094,0.00135,-,
2026-01-03,韓元 (KRW),0.01935,0.02325,-,
2026-01-03,馬來幣 (MYR),6.572,8.097,-,
