keyword,areas,title,company,location,salary_text,post_date,url,job_id,snapshot_time
資料分析師,"桃園市,新北市","資料分析師 (Data Analyst, AI Product Implementation)",詠鋐智能股份有限公司,新北市林口區,"年薪700,000~1,000,000元",20251105,https://www.104.com.tw/job/8rc6s?jobsource=n104bank2,14712436,2026-01-06 09:37
資料分析師,"桃園市,新北市",資料分析師,大樹連鎖藥局_大樹醫藥股份有限公司,桃園市桃園區,待遇面議,20251231,https://www.104.com.tw/job/8gd8h?jobsource=n104bank2,14200577,2026-01-06 09:37
資料分析師,"桃園市,新北市",產品二部 | 資料分析師/資深分析師(Data Analyst),騰雲科技服務股份有限公司,新北市汐止區,待遇面議,20251230,https://www.104.com.tw/job/8iejf?jobsource=n104bank2,14295579,2026-01-06 09:37
資料分析師,"桃園市,新北市",【數據發展部】數據分析師 (內容開發與經營分析),聯合報股份有限公司,新北市汐止區,待遇面議,20251223,https://www.104.com.tw/job/7o52w?jobsource=n104bank2,12883640,2026-01-06 09:37
資料分析師,"桃園市,新北市",品牌數據分析師,皇錩實業有限公司,新北市三重區,"月薪40,000~62,000元",20251230,https://www.104.com.tw/job/8wf8z?jobsource=n104bank2,14949683,2026-01-06 09:37
資料分析師,"桃園市,新北市",【數據發展部】數據分析師,聯合報股份有限公司,新北市汐止區,待遇面議,20251223,https://www.104.com.tw/job/7vmmw?jobsource=n104bank2,13232984,2026-01-06 09:37
資料分析師,"桃園市,新北市",HQ-數據分析師,台灣圓點奈米技術股份有限公司,桃園市龜山區,待遇面議,20260102,https://www.104.com.tw/job/8v3nq?jobsource=n104bank2,14888006,2026-01-06 09:37
資料分析師,"桃園市,新北市",【數據發展部】助理數據分析師－產品分析中心,聯合報股份有限公司,新北市汐止區,待遇面議,20251223,https://www.104.com.tw/job/70mim?jobsource=n104bank2,11786494,2026-01-06 09:37
資料分析師,"桃園市,新北市",台灣大哥大集團-資料數據分析師,台灣客服科技股份有限公司,新北市三重區,"月薪35,000~45,000元",20260106,https://www.104.com.tw/job/8rsd9?jobsource=n104bank2,14733405,2026-01-06 09:37
資料分析師,"桃園市,新北市",棒球運動科學數據分析師,好的運動股份有限公司,新北市中和區,待遇面議,20251230,https://www.104.com.tw/job/7j2jt?jobsource=n104bank2,12647081,2026-01-06 09:37
資料分析師,"桃園市,新北市",【IT】商業智慧(BI)數據分析師(林口),神達電腦股份有限公司,桃園市龜山區,待遇面議,20250828,https://www.104.com.tw/job/7b6az?jobsource=n104bank2,12278699,2026-01-06 09:37
資料分析師,"桃園市,新北市",2.數據分析專員_桃園轉運中心,SF EXPRESS_台灣順豐速運股份有限公司,桃園市大園區,"月薪42,000~44,000元",20260105,https://www.104.com.tw/job/8lbzz?jobsource=n104bank2,14432255,2026-01-06 09:37
資料分析師,"桃園市,新北市",資料科學家 (Data Scientist – Product-Oriented),詠鋐智能股份有限公司,新北市林口區,"年薪1,100,000~2,000,000元",20251105,https://www.104.com.tw/job/8rc7d?jobsource=n104bank2,14712457,2026-01-06 09:37
資料分析師,"桃園市,新北市",數據分析師,曜通資訊有限公司,新北市新莊區,待遇面議,20260101,https://www.104.com.tw/job/8wacs?jobsource=n104bank2,14943340,2026-01-06 09:37
資料分析師,"桃園市,新北市",資料科學家 (Data Scientist – Solution Delivery),詠鋐智能股份有限公司,新北市林口區,"年薪1,100,000~2,000,000元",20251105,https://www.104.com.tw/job/89ndh?jobsource=n104bank2,13887125,2026-01-06 09:37
資料分析師,"桃園市,新北市",【四維集團數位人才招募】系統分析師,四維企業股份有限公司,新北市三重區,待遇面議,20260103,https://www.104.com.tw/job/8x3e7?jobsource=n104bank2,14980975,2026-01-06 09:37
資料分析師,"桃園市,新北市",1-K2 禮賓中心 客服行政助理,饗賓餐旅事業股份有限公司,桃園市桃園區,"月薪34,000~39,000元",20251203,https://www.104.com.tw/job/8tcb0?jobsource=n104bank2,14805900,2026-01-06 09:37
資料分析師,"桃園市,新北市",產業研究專員 Research Analyst,社團法人國際技能發展協會,新北市板橋區,"月薪45,000~55,000元",20251110,https://www.104.com.tw/job/8s4jj?jobsource=n104bank2,14749183,2026-01-06 09:37
資料分析師,"桃園市,新北市",行銷專員【富岡廠】,聯華實業控股股份有限公司,桃園市楊梅區,待遇面議,20260106,https://www.104.com.tw/job/8qkrv?jobsource=n104bank2,14676907,2026-01-06 09:37
資料分析師,"桃園市,新北市",數據分析實習生,上豐食品有限公司,新北市三重區,待遇面議,20251229,https://www.104.com.tw/job/8u99b?jobsource=n104bank2,14848607,2026-01-06 09:37
資料分析師,"桃園市,新北市",資料分析師,北方國際有限公司,新北市八里區,"月薪38,000~50,000元",20260105,https://www.104.com.tw/job/773rq?jobsource=n104bank2,12088790,2026-01-06 09:37
資料分析師,"桃園市,新北市",Business Analyst (MBA Intern needed),Qnity_台灣杜邦股份有限公司,桃園市桃園區,待遇面議,20251226,https://www.104.com.tw/job/8sf7w?jobsource=n104bank2,14763020,2026-01-06 09:37
資料分析師,"桃園市,新北市",[集團] 流程優化與數據分析專員,AVIS艾維士租車_安維斯汽車租賃股份有限公司,新北市三重區,待遇面議,20251231,https://www.104.com.tw/job/8ku3m?jobsource=n104bank2,14409058,2026-01-06 09:37
資料分析師,"桃園市,新北市",Salesforce Business Analyst,伊雲谷數位科技股份有限公司,新北市三重區,待遇面議,20251218,https://www.104.com.tw/job/8iaza?jobsource=n104bank2,14290966,2026-01-06 09:37
資料分析師,"桃園市,新北市",人力資源系統管理師(HRIS)｜3年以上實務經驗｜,英屬維京群島商祥茂光電科技股份有限公司台灣分公司,新北市林口區,待遇面議,20250904,https://www.104.com.tw/job/8tmm9?jobsource=n104bank2,14819265,2026-01-06 09:37
資料分析師,"桃園市,新北市",營運專員 Operations Specialist,挑食鮮物國際有限公司,新北市新莊區,待遇面議,20260102,https://www.104.com.tw/job/8k61u?jobsource=n104bank2,14377890,2026-01-06 09:37
資料分析師,"桃園市,新北市",C# 工程師,碩群資訊股份有限公司,桃園市桃園區,"月薪35,000元以上",20251215,https://www.104.com.tw/job/8wmew?jobsource=n104bank2,14958968,2026-01-06 09:37
資料分析師,"桃園市,新北市",遊戲數據分析 Game Data Analyst,遊悅科技股份有限公司,新北市永和區,待遇面議,20260101,https://www.104.com.tw/job/8tb5h?jobsource=n104bank2,14804405,2026-01-06 09:37
資料分析師,"桃園市,新北市",【台北】數據分析工程師,聯合骨科器材股份有限公司,新北市永和區,待遇面議,20260104,https://www.104.com.tw/job/8sa9q?jobsource=n104bank2,14756606,2026-01-06 09:37
資料分析師,"桃園市,新北市",數據(分析/開發)工程師,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,新北市土城區,待遇面議,20260102,https://www.104.com.tw/job/8cury?jobsource=n104bank2,14036686,2026-01-06 09:37
資料分析師,"桃園市,新北市",Business Analyst,伊雲谷數位科技股份有限公司,新北市三重區,待遇面議,20251218,https://www.104.com.tw/job/8bwrd?jobsource=n104bank2,13992601,2026-01-06 09:37
資料分析師,"桃園市,新北市",Data Analytics Engineer 資料分析工程師 (桃園龜山近林口長庚),Gogoro Taiwan Limited_睿能創意股份有限公司,桃園市龜山區,待遇面議,20260105,https://www.104.com.tw/job/8wzpt?jobsource=n104bank2,14976209,2026-01-06 09:37
資料分析師,"桃園市,新北市",資料分析工程師,博晶醫電股份有限公司,新北市新店區,待遇面議,20260102,https://www.104.com.tw/job/8e6sq?jobsource=n104bank2,14098922,2026-01-06 09:37
資料分析師,"桃園市,新北市",1-K2 禮賓中心 客服行政專員,饗賓餐旅事業股份有限公司,桃園市桃園區,"月薪40,000~44,000元",20251203,https://www.104.com.tw/job/8tc1o?jobsource=n104bank2,14805564,2026-01-06 09:37
資料分析師,"桃園市,新北市",延展部市場分析人員,新理想廣告股份有限公司,桃園市桃園區,"月薪42,000~45,000元",20260105,https://www.104.com.tw/job/8rwpm?jobsource=n104bank2,14739034,2026-01-06 09:37
資料分析師,"桃園市,新北市",《數位轉型》AI系統工程師,裕隆集團移動服務事業_格上汽車租賃股份有限公司,新北市新店區,待遇面議,20260105,https://www.104.com.tw/job/8lwq3?jobsource=n104bank2,14459115,2026-01-06 09:37
資料分析師,"桃園市,新北市",資料服務部門主管_汐止,緯謙科技股份有限公司,新北市汐止區,待遇面議,20260101,https://www.104.com.tw/job/8o07k?jobsource=n104bank2,14556944,2026-01-06 09:37
資料分析師,"桃園市,新北市",網路行銷專員,旭立科技股份有限公司,桃園市八德區,待遇面議,20251231,https://www.104.com.tw/job/8bsn6?jobsource=n104bank2,13987266,2026-01-06 09:37
資料分析師,"桃園市,新北市",Staff Data Analyst - Fraud,酷澎股份有限公司,桃園市大園區,待遇面議,20251230,https://www.104.com.tw/job/8k4qp?jobsource=n104bank2,14376193,2026-01-06 09:37
資料分析師,"桃園市,新北市",AI初級訓練員,三清國際投資管理顧問股份有限公司,桃園市桃園區,"月薪46,000元以上",20251223,https://www.104.com.tw/job/8sble?jobsource=n104bank2,14758322,2026-01-06 09:37
資料分析師,"桃園市,新北市",★擴編【資訊部】BPM系統開發工程師,台美檢驗科技股份有限公司,新北市五股區,待遇面議,20260105,https://www.104.com.tw/job/7au99?jobsource=n104bank2,12263085,2026-01-06 09:37
資料分析師,"桃園市,新北市",資料科學家,鈊象電子股份有限公司,新北市五股區,待遇面議,20260102,https://www.104.com.tw/job/8hao1?jobsource=n104bank2,14243905,2026-01-06 09:37
資料分析師,"桃園市,新北市",【洗衣廠】系統整合與商業分析規劃 實習生,上洋產業股份有限公司,新北市鶯歌區,時薪220~250元,20260102,https://www.104.com.tw/job/8wqow?jobsource=n104bank2,14964512,2026-01-06 09:37
資料分析師,"桃園市,新北市",桃園店 營運管理部 人力優化專員 Staff Planning Specialist,IKEA_宜家家居股份有限公司,桃園市中壢區,"月薪33,000~41,000元",20260101,https://www.104.com.tw/job/8lb77?jobsource=n104bank2,14431219,2026-01-06 09:37
資料分析師,"桃園市,新北市","數據整理實習生, Data Operations Intern",ViewSonic Corporation_優派國際股份有限公司,新北市中和區,時薪196元,20251229,https://www.104.com.tw/job/8x0qp?jobsource=n104bank2,14977537,2026-01-06 09:37
資料分析師,"桃園市,新北市",專員或經理1名(臺北-管理系統驗證),財團法人全國認證基金會,新北市淡水區,"月薪38,400~61,500元",20260104,https://www.104.com.tw/job/8l4vl?jobsource=n104bank2,14423025,2026-01-06 09:37
資料分析師,"桃園市,新北市",外貿行銷助理數據分析師,台灣司麥爾食品股份有限公司,新北市八里區,"月薪35,000~45,000元",20260105,https://www.104.com.tw/job/8wsra?jobsource=n104bank2,14967190,2026-01-06 09:37
資料分析師,"桃園市,新北市",【營運部】數據運營主管 Data Operations Manager｜用戶增長/商業增長方向 (JIRA575),全曜財經資訊股份有限公司,新北市板橋區,待遇面議,20260102,https://www.104.com.tw/job/8slme?jobsource=n104bank2,14771318,2026-01-06 09:37
資料分析師,"桃園市,新北市",【零售】通路營運分析主管,中華電信關係企業_神腦國際企業股份有限公司,新北市新店區,待遇面議,20260105,https://www.104.com.tw/job/85lkc?jobsource=n104bank2,13698156,2026-01-06 09:37
資料分析師,"桃園市,新北市",SCM Automation Solutions Specialist,緯穎科技服務股份有限公司,新北市汐止區,待遇面議,20251120,https://www.104.com.tw/job/8u8ek?jobsource=n104bank2,14847500,2026-01-06 09:37
資料分析師,"桃園市,新北市",INVINCIBLE 總公司｜品牌分析專員 (Merchandise Planner),INVINCIBLE_英斯伯貿易有限公司,新北市汐止區,"月薪40,000元以上",20251230,https://www.104.com.tw/job/8d5gx?jobsource=n104bank2,14050545,2026-01-06 09:37
資料分析師,"桃園市,新北市",數據工程師實習生｜AI應用開發｜新創｜歡迎新鮮人與產學合作,睿思創新股份有限公司,新北市板橋區,時薪200元,20260105,https://www.104.com.tw/job/8q8oc?jobsource=n104bank2,14661228,2026-01-06 09:37
資料分析師,"桃園市,新北市",數據工程師 | Data Engineer,興聯科技股份有限公司,桃園市龜山區,待遇面議,20260105,https://www.104.com.tw/job/8vsni?jobsource=n104bank2,14920398,2026-01-06 09:37
資料分析師,"桃園市,新北市",數據/資料分析師,晶焱科技股份有限公司,新北市中和區,待遇面議,20260105,https://www.104.com.tw/job/8wupy?jobsource=n104bank2,14969734,2026-01-06 09:37
資料分析師,"桃園市,新北市",營運系統專員-K056,裕隆集團移動服務事業_格上汽車租賃股份有限公司,新北市新店區,"月薪35,000~45,000元",20260105,https://www.104.com.tw/job/8ukdl?jobsource=n104bank2,14863017,2026-01-06 09:37
資料分析師,"桃園市,新北市",Business Analyst 商業分析師,玩美移動股份有限公司,新北市新店區,待遇面議,20260104,https://www.104.com.tw/job/8hxck?jobsource=n104bank2,14273300,2026-01-06 09:37
資料分析師,"桃園市,新北市",【德商DHL】HQ－Transport Data Analysis Specialist,DHL_台灣敦豪供應鏈股份有限公司,新北市三重區,待遇面議,20251231,https://www.104.com.tw/job/8skw5?jobsource=n104bank2,14770373,2026-01-06 09:37
資料分析師,"桃園市,新北市",【IT】AI資深工程師【林口】(可年後上班),神達電腦股份有限公司,桃園市龜山區,待遇面議,20251218,https://www.104.com.tw/job/6qfav?jobsource=n104bank2,11310583,2026-01-06 09:37
資料分析師,"桃園市,新北市",【洗衣廠】BA商業分析師,上洋產業股份有限公司,新北市鶯歌區,待遇面議,20260102,https://www.104.com.tw/job/8md86?jobsource=n104bank2,14480502,2026-01-06 09:37
資料分析師,"桃園市,新北市",【工業4.0／智慧製造】智慧製造數據分析工程師 (山鶯廠區),欣興電子股份有限公司,桃園市龜山區,"月薪41,000~80,000元",20251231,https://www.104.com.tw/job/6mjk0?jobsource=n104bank2,11129472,2026-01-06 09:37
