keyword,areas,title,company,location,salary_text,post_date,url,job_id,snapshot_time
軟體工程師,桃園市,[桃園廠]_ERP系統分析工程師(課階主管) _需定期出差越南廠,復盛應用科技股份有限公司,桃園市桃園區,待遇面議,20251231,https://www.104.com.tw/job/5udv5?jobsource=hotjob_chr,9815729,2026-01-06 13:10
軟體工程師,桃園市,[桃園廠]_CAE工程師,復盛應用科技股份有限公司,桃園市桃園區,待遇面議,20251231,https://www.104.com.tw/job/59bj1?jobsource=hotjob_chr,8832925,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師 Software Engineer,台林電通股份有限公司,桃園市蘆竹區,待遇面議,20260105,https://www.104.com.tw/job/8p0hl?jobsource=n104bank2,14603961,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,冠信電腦股份有限公司_台達電子集團,桃園市龜山區,待遇面議,20260102,https://www.104.com.tw/job/6g47l?jobsource=n104bank2,10829649,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,群翊工業股份有限公司,桃園市楊梅區,待遇面議,20260105,https://www.104.com.tw/job/7teyo?jobsource=n104bank2,13129728,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師(桃園),捷廣系統整合股份有限公司,桃園市蘆竹區,"月薪30,000~60,000元",20251210,https://www.104.com.tw/job/6asiz?jobsource=n104bank2,10581227,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,智慧生醫電子股份有限公司,桃園市中壢區,待遇面議,20251230,https://www.104.com.tw/job/8jnen?jobsource=n104bank2,14353727,2026-01-06 13:10
軟體工程師,桃園市,Golang雲端後台軟體工程師,美商德樂道科技有限公司台灣分公司,桃園市中壢區,待遇面議,20251231,https://www.104.com.tw/job/8x1xr?jobsource=n104bank2,14979087,2026-01-06 13:10
軟體工程師,桃園市,[AI Server]軟體工程師(桃園),Inventec_英業達股份有限公司,桃園市桃園區,待遇面議,20251231,https://www.104.com.tw/job/8svs5?jobsource=n104bank2,14784485,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,弘凱光電股份有限公司,桃園市桃園區,待遇面議,20260106,https://www.104.com.tw/job/8vx6r?jobsource=n104bank2,14926275,2026-01-06 13:10
軟體工程師,桃園市,研發工程類-設備自動化軟體工程師 Equipment Automation Software Engineer,ASMPT Technology Limited_香港商先進太平洋股份有限公司台灣分公司,桃園市龜山區,待遇面議,20251231,https://www.104.com.tw/job/8tzq4?jobsource=n104bank2,14836252,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師  (桃園市中壢區),盈吉資訊有限公司,桃園市中壢區,待遇面議,20260102,https://www.104.com.tw/job/73bwk?jobsource=n104bank2,11912708,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,廣明光電股份有限公司_廣達關係企業,桃園市龜山區,待遇面議,20251231,https://www.104.com.tw/job/8uwve?jobsource=n104bank2,14879210,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,鼎煜精密工業股份有限公司,桃園市八德區,待遇面議,20250919,https://www.104.com.tw/job/3n5rj?jobsource=n104bank2,6119407,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,展市華科技有限公司,桃園市龜山區,"月薪45,000~70,000元",20260105,https://www.104.com.tw/job/8wqgy?jobsource=n104bank2,14964226,2026-01-06 13:10
軟體工程師,桃園市,軟體開發工程師,偕湛國際股份有限公司,桃園市蘆竹區,待遇面議,20251204,https://www.104.com.tw/job/8rlwd?jobsource=n104bank2,14725021,2026-01-06 13:10
軟體工程師,桃園市,Flutter 軟體工程師,德洛斯科技股份有限公司,桃園市桃園區,"月薪30,000~100,000元",20251224,https://www.104.com.tw/job/8m9u8?jobsource=n104bank2,14476112,2026-01-06 13:10
軟體工程師,桃園市,前端軟體工程師,日博設計有限公司,桃園市中壢區,"月薪32,000~50,000元",20251230,https://www.104.com.tw/job/7kizo?jobsource=n104bank2,12715044,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師（1IB00）,迎廣科技股份有限公司,桃園市龜山區,待遇面議,20260106,https://www.104.com.tw/job/8utst?jobsource=n104bank2,14875229,2026-01-06 13:10
軟體工程師,桃園市,【B400】軟體工程師,銘異科技股份有限公司,桃園市龜山區,待遇面議,20251219,https://www.104.com.tw/job/8m3yu?jobsource=n104bank2,14468502,2026-01-06 13:10
軟體工程師,桃園市,【綜合研究中心】軟體工程師,太平洋電線電纜股份有限公司,桃園市楊梅區,待遇面議,20260106,https://www.104.com.tw/job/8x7m7?jobsource=n104bank2,14986447,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,造隆股份有限公司,桃園市蘆竹區,待遇面議,20260105,https://www.104.com.tw/job/8ib3b?jobsource=n104bank2,14291111,2026-01-06 13:10
軟體工程師,桃園市,工安工程師/副工程師【林口龜山-華亞科技園區】,正德防火工業股份有限公司,桃園市龜山區,待遇面議,20260102,https://www.104.com.tw/job/79fzv?jobsource=hotjob_chr,12197947,2026-01-06 13:10
軟體工程師,桃園市,Data Center Facilities Engineering Shift Supervisor 資料中心 機電設備值班組長/助理組長,數據匯台灣股份有限公司,桃園市龜山區,待遇面議,20260106,https://www.104.com.tw/job/8wdfb?jobsource=hotjob_chr,14947319,2026-01-06 13:10
軟體工程師,桃園市,資深軟體開發工程師,偕湛國際股份有限公司,桃園市蘆竹區,待遇面議,20251204,https://www.104.com.tw/job/7aa5y?jobsource=n104bank2,12237046,2026-01-06 13:10
軟體工程師,桃園市,自動化軟體工程師,高加盛科技有限公司,桃園市中壢區,"月薪35,000~65,000元",20251231,https://www.104.com.tw/job/7m9c2?jobsource=n104bank2,12795842,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,大量生技股份有限公司,桃園市八德區,待遇面議,20260102,https://www.104.com.tw/job/8wffl?jobsource=n104bank2,14949921,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,達方電子股份有限公司,桃園市龜山區,待遇面議,20251231,https://www.104.com.tw/job/8oa93?jobsource=n104bank2,14569959,2026-01-06 13:10
軟體工程師,桃園市,前端軟體工程師(桃園),捷廣系統整合股份有限公司,桃園市蘆竹區,"月薪30,000~60,000元",20251210,https://www.104.com.tw/job/8hkjr?jobsource=n104bank2,14256711,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,天成醫療社團法人天晟醫院,桃園市中壢區,"月薪36,000~45,000元",20260105,https://www.104.com.tw/job/8bafa?jobsource=n104bank2,13963654,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,昇士達科技股份有限公司,桃園市龜山區,待遇面議,20260105,https://www.104.com.tw/job/88czk?jobsource=n104bank2,13827008,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,小物檢測有限公司,桃園市龍潭區,"月薪40,000~60,000元",20260106,https://www.104.com.tw/job/8w60g?jobsource=n104bank2,14937712,2026-01-06 13:10
軟體工程師,桃園市,ERP軟體工程師 (地點:桃園),Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,桃園市龜山區,待遇面議,20251208,https://www.104.com.tw/job/8wf7u?jobsource=n104bank2,14949642,2026-01-06 13:10
軟體工程師,桃園市,【ERP】軟體工程師 (林口辦公室),瑞智精密股份有限公司,桃園市龜山區,待遇面議,20260106,https://www.104.com.tw/job/70itk?jobsource=n104bank2,11781704,2026-01-06 13:10
軟體工程師,桃園市,AI軟體工程師,大碩智能科技股份有限公司,桃園市中壢區,"月薪45,000~65,000元",20260105,https://www.104.com.tw/job/8swv8?jobsource=n104bank2,14785892,2026-01-06 13:10
軟體工程師,桃園市,AI軟體開發工程師,展市華科技有限公司,桃園市龜山區,"月薪45,000~80,000元",20260105,https://www.104.com.tw/job/74ikp?jobsource=n104bank2,11968009,2026-01-06 13:10
軟體工程師,桃園市,【Server】AI/ML軟體工程師【林口】,神達電腦股份有限公司,桃園市龜山區,待遇面議,20250828,https://www.104.com.tw/job/8gedd?jobsource=n104bank2,14202049,2026-01-06 13:10
軟體工程師,桃園市,軟體設計工程師(IOT),鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,桃園市桃園區,待遇面議,20260102,https://www.104.com.tw/job/8oktn?jobsource=n104bank2,14583659,2026-01-06 13:10
軟體工程師,桃園市,ERP軟體工程師（1P000),迎廣科技股份有限公司,桃園市龜山區,待遇面議,20260106,https://www.104.com.tw/job/8seaw?jobsource=n104bank2,14761832,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,第一美卡事業股份有限公司,桃園市蘆竹區,"月薪35,000~55,000元",20260105,https://www.104.com.tw/job/7b9w0?jobsource=n104bank2,12283344,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,細胞動力科技股份有限公司,桃園市龍潭區,待遇面議,20251231,https://www.104.com.tw/job/8l3op?jobsource=n104bank2,14421481,2026-01-06 13:10
軟體工程師,桃園市,【車用電子】DevOps 軟體工程師【林口】,神達電腦股份有限公司,桃園市龜山區,待遇面議,20251202,https://www.104.com.tw/job/8sv6j?jobsource=n104bank2,14783707,2026-01-06 13:10
軟體工程師,桃園市,C#軟體工程師,艾可智能科技股份有限公司,桃園市中壢區,待遇面議,20260102,https://www.104.com.tw/job/8q7b3?jobsource=n104bank2,14659455,2026-01-06 13:10
軟體工程師,桃園市,SW PE產品軟體工程師/資深工程師_SIIC,漢特威科技股份有限公司,桃園市桃園區,待遇面議,20251220,https://www.104.com.tw/job/8qd6d?jobsource=n104bank2,14667061,2026-01-06 13:10
軟體工程師,桃園市,PC Base軟體工程師(中壢工業區),均英精密工業股份有限公司,桃園市中壢區,待遇面議,20251230,https://www.104.com.tw/job/8x1ts?jobsource=n104bank2,14978944,2026-01-06 13:10
軟體工程師,桃園市,【半導體事業部】PC自動化軟體工程師,易發精機股份有限公司,桃園市中壢區,待遇面議,20251230,https://www.104.com.tw/job/82rnz?jobsource=n104bank2,13566095,2026-01-06 13:10
軟體工程師,桃園市,MES軟體工程師(桃園),大碩智能科技股份有限公司,桃園市中壢區,"月薪35,000~60,000元",20260105,https://www.104.com.tw/job/6ssy1?jobsource=n104bank2,11421577,2026-01-06 13:10
軟體工程師,桃園市,嵌入式系統軟體工程師 (Embedded Software Engineer),艾創科技股份有限公司,桃園市桃園區,待遇面議,20260105,https://www.104.com.tw/job/7d5x0?jobsource=n104bank2,12371508,2026-01-06 13:10
軟體工程師,桃園市,培訓無人機/機器人/機器狗設計/測試/組裝硬體/軟體工程師【金鞍機械龍潭廠】,義美食品股份有限公司,桃園市龍潭區,待遇面議,20260106,https://www.104.com.tw/job/8qn7f?jobsource=n104bank2,14680059,2026-01-06 13:10
軟體工程師,桃園市,【自動化事業部】RD_PC軟體工程師,易發精機股份有限公司,桃園市中壢區,待遇面議,20260102,https://www.104.com.tw/job/7s7ej?jobsource=n104bank2,13073275,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師(龍潭),博訊生物科技股份有限公司,桃園市龍潭區,待遇面議,20260105,https://www.104.com.tw/job/8kvno?jobsource=n104bank2,14411076,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師(c#),欣竑科技有限公司,桃園市平鎮區,待遇面議,20251212,https://www.104.com.tw/job/5zxdj?jobsource=n104bank2,10074295,2026-01-06 13:10
軟體工程師,桃園市,【桃園】軟體部-Unity軟體工程師,勝圖國際企業股份有限公司,桃園市楊梅區,待遇面議,20260106,https://www.104.com.tw/job/7442t?jobsource=n104bank2,11949221,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師 (IoT),鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,桃園市桃園區,待遇面議,20260102,https://www.104.com.tw/job/7ztfo?jobsource=n104bank2,13428420,2026-01-06 13:10
軟體工程師,桃園市,資深軟體工程師,碩陽電機股份有限公司,桃園市中壢區,待遇面議,20260106,https://www.104.com.tw/job/8u8u6?jobsource=n104bank2,14848062,2026-01-06 13:10
軟體工程師,桃園市,1-C2 資管部_SAP軟體工程師(工作地點：集團總部),饗賓餐旅事業股份有限公司,桃園市大園區,"月薪50,000~60,000元",20251203,https://www.104.com.tw/job/8ozph?jobsource=n104bank2,14602949,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,貝爾國際驗證股份有限公司,桃園市桃園區,待遇面議,20251231,https://www.104.com.tw/job/8cb6v?jobsource=n104bank2,14011303,2026-01-06 13:10
軟體工程師,桃園市,AOI軟體工程師,創視紀科技股份有限公司,桃園市蘆竹區,待遇面議,20260105,https://www.104.com.tw/job/3vx8k?jobsource=n104bank2,6528260,2026-01-06 13:10
軟體工程師,桃園市,AI軟體工程師 (大溪),Inventec_英業達股份有限公司,桃園市大溪區,待遇面議,20260105,https://www.104.com.tw/job/8kkbo?jobsource=n104bank2,14396388,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,碩陽電機股份有限公司,桃園市中壢區,待遇面議,20251231,https://www.104.com.tw/job/8w8bg?jobsource=n104bank2,14940700,2026-01-06 13:10
軟體工程師,桃園市,全端軟體工程師,霸特人房屋_霸特人資產管理有限公司,桃園市八德區,待遇面議,20251231,https://www.104.com.tw/job/8u9z0?jobsource=n104bank2,14849532,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,英特格系統股份有限公司,桃園市中壢區,待遇面議,20260101,https://www.104.com.tw/job/8a3bm?jobsource=n104bank2,13907794,2026-01-06 13:10
軟體工程師,桃園市,J01~AOI系統軟體開發工程師,精英人力資源股份有限公司,桃園市龜山區,待遇面議,20251231,https://www.104.com.tw/job/8x3h9?jobsource=n104bank2,14981085,2026-01-06 13:10
軟體工程師,桃園市,軟體工程師,麥科先進股份有限公司,桃園市楊梅區,待遇面議,20251231,https://www.104.com.tw/job/7hjoh?jobsource=n104bank2,12575969,2026-01-06 13:10
