幣別,現金買入,現金賣出,即期買入
美金 (USD),30.755,31.425,31.08
港幣 (HKD),3.847,4.051,3.968
英鎊 (GBP),40.48,42.6,41.375
澳幣 (AUD),20.35,21.13,20.565
加拿大幣 (CAD),22.15,23.06,22.48
新加坡幣 (SGD),23.54,24.45,24.01
瑞士法郎 (CHF),38.37,39.57,38.98
日圓 (JPY),0.1908,0.2036,0.1976
南非幣 (ZAR),-,-,1.804
瑞典幣 (SEK),-,-,3.31
紐元 (NZD),17.61,18.46,17.94
泰幣 (THB),0.8586,1.0486,0.969
菲國比索 (PHP),0.4614,0.5934,-
印尼幣 (IDR),0.00148,0.00218,-
歐元 (EUR),35.76,37.1,36.275
韓元 (KRW),0.01935,0.02325,-
越南盾 (VND),0.00094,0.00135,-
馬來幣 (MYR),6.572,8.097,-
人民幣 (CNY),4.322,4.484,4.389
