keyword,areas,title,company,location,salary_text,post_date,url,job_id,snapshot_time
軟體工程師,桃園市桃園市龜山區,工程3D繪圖工程師/副工程師【林口龜山-華亞科技園區】,正德防火工業股份有限公司,桃園市龜山區,待遇面議,20260109,https://www.104.com.tw/job/8atlm?jobsource=hotjob_chr,13941850,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,軟體工程師,昇士達科技股份有限公司,桃園市龜山區,待遇面議,20260112,https://www.104.com.tw/job/88czk?jobsource=n104bank2,13827008,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,軟體工程師,展市華科技有限公司,桃園市龜山區,"月薪45,000~70,000元",20260112,https://www.104.com.tw/job/8wqgy?jobsource=n104bank2,14964226,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,軟體工程師(車載產品 Connectivity team)_林口,GARMIN_台灣國際航電股份有限公司,桃園市龜山區,待遇面議,20260109,https://www.104.com.tw/job/8xcr4?jobsource=n104bank2,14993104,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,軟體工程師,廣明光電股份有限公司_廣達關係企業,桃園市龜山區,待遇面議,20260107,https://www.104.com.tw/job/8uwve?jobsource=n104bank2,14879210,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,軟體工程師 (龜山廠),明基三豐醫療器材股份有限公司,桃園市龜山區,待遇面議,20260106,https://www.104.com.tw/job/6k799?jobsource=n104bank2,11020221,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,【B400】軟體工程師,銘異科技股份有限公司,桃園市龜山區,待遇面議,20260109,https://www.104.com.tw/job/8m3yu?jobsource=n104bank2,14468502,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,機電技術與軟體工程師,聿鼎股份有限公司,桃園市龜山區,"月薪55,000~85,000元",20260106,https://www.104.com.tw/job/4ejbz?jobsource=n104bank2,7396703,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,軟體工程師,達方電子股份有限公司,桃園市龜山區,待遇面議,20260107,https://www.104.com.tw/job/8oa93?jobsource=n104bank2,14569959,2026-01-12 10:58
軟體工程師,桃園市桃園市龜山區,軟體工程師,冠信電腦股份有限公司_台達電子集團,桃園市龜山區,待遇面議,20260109,https://www.104.com.tw/job/6g47l?jobsource=n104bank2,10829649,2026-01-12 10:58
