幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.75500,31.08000,31.09200,31.03500,30.95400,30.90900,30.84200,30.77400,30.71300,本行賣出,31.42500,31.23000,31.19600,31.14400,31.07100,31.03400,30.97500,30.91500,30.86000,
HKD,本行買入,3.84700,3.96800,3.97000,3.96500,3.96000,3.95500,3.94900,3.94300,3.93600,本行賣出,4.05100,4.03800,4.03000,4.02700,4.02200,4.01800,4.01300,4.00800,4.00300,
GBP,本行買入,40.48000,41.37500,41.48200,41.40500,41.31700,41.23600,41.14600,41.05600,40.96600,本行賣出,42.60000,42.00500,41.89800,41.85300,41.76500,41.68700,41.61100,41.53500,41.45900,
AUD,本行買入,20.35000,20.56500,20.66200,20.62600,20.58400,20.54600,20.50200,20.45700,20.41100,本行賣出,21.13000,20.91000,20.87200,20.85500,20.81500,20.77700,20.74100,20.70200,20.66400,
CAD,本行買入,22.15000,22.48000,22.53400,22.52100,22.50500,22.49000,22.47000,22.44900,22.42900,本行賣出,23.06000,22.81000,22.73800,22.73500,22.72100,22.70600,22.69400,22.68300,22.67100,
SGD,本行買入,23.54000,24.01000,24.04600,24.03900,24.03900,24.04000,24.03300,24.02700,24.02100,本行賣出,24.45000,24.23000,24.23500,24.24500,24.24800,24.24800,24.25200,24.25500,24.25900,
CHF,本行買入,38.37000,38.98000,39.08000,39.11900,39.15600,39.19800,39.23700,39.27800,39.31800,本行賣出,39.57000,39.37000,39.33900,39.39600,39.43400,39.47700,39.53300,39.58900,39.64600,
JPY,本行買入,0.19080,0.19760,0.19820,0.19830,0.19830,0.19850,0.19860,0.19860,0.19870,本行賣出,0.20360,0.20260,0.20230,0.20250,0.20250,0.20280,0.20290,0.20310,0.20320,
ZAR,本行買入,0.00000,1.80400,1.80800,1.80200,1.79300,1.78600,1.77800,1.77000,1.76200,本行賣出,0.00000,1.89400,1.88900,1.88400,1.87600,1.86900,1.86100,1.85400,1.84600,
SEK,本行買入,0.00000,3.31000,3.31900,3.31700,3.31600,3.31400,3.31200,3.31000,3.30700,本行賣出,0.00000,3.43000,3.42000,3.42100,3.42000,3.41900,3.41800,3.41700,3.41500,
NZD,本行買入,17.61000,17.94000,18.01100,17.99400,17.97600,17.96100,17.94200,17.92300,17.90400,本行賣出,18.46000,18.24000,18.22000,18.21900,18.20200,18.18800,18.17500,18.16200,18.14900,
THB,本行買入,0.85860,0.96900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04860,1.01500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.76000,36.27500,36.36800,36.34500,36.30300,36.30000,36.27100,36.24200,36.19700,本行賣出,37.10000,36.87500,36.77800,36.77300,36.73900,36.74100,36.72600,36.71000,36.69500,
KRW,本行買入,0.01935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02325,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.57200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.09700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.32200,4.38900,4.39200,4.39000,4.38860,4.38760,4.38540,4.38250,4.38090,本行賣出,4.48400,4.44900,4.44290,4.44260,4.44190,4.44090,4.44020,4.43950,4.43880,
