幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.99500,31.32000,31.33200,31.27700,31.20600,31.14400,31.07700,31.00700,30.94600,本行賣出,31.66500,31.47000,31.43600,31.38700,31.32400,31.27000,31.21100,31.15200,31.10000,
HKD,本行買入,3.87700,3.99800,4.00100,3.99600,3.99100,3.98600,3.98000,3.97400,3.96700,本行賣出,4.08100,4.06800,4.06100,4.05800,4.05300,4.04900,4.04400,4.03900,4.03400,
GBP,本行買入,40.38000,41.27500,41.26200,41.18500,41.09700,41.01600,40.92600,40.83600,40.74600,本行賣出,42.50000,41.90500,41.67800,41.63300,41.54500,41.46700,41.39100,41.31500,41.23900,
AUD,本行買入,20.17000,20.38500,20.36200,20.32600,20.28400,20.24600,20.20200,20.15700,20.11100,本行賣出,20.95000,20.73000,20.57200,20.55500,20.51500,20.47700,20.44100,20.40200,20.36400,
CAD,本行買入,21.98000,22.31000,22.26400,22.25100,22.23500,22.22000,22.20000,22.17900,22.15900,本行賣出,22.89000,22.64000,22.46800,22.46500,22.45100,22.43600,22.42400,22.41300,22.40100,
SGD,本行買入,23.64000,24.11000,24.10600,24.09900,24.09900,24.10000,24.09300,24.08700,24.08100,本行賣出,24.55000,24.33000,24.29500,24.30500,24.30800,24.30800,24.31200,24.31500,24.31900,
CHF,本行買入,38.26000,38.87000,38.85000,38.88900,38.92600,38.96800,39.00700,39.04800,39.08800,本行賣出,39.46000,39.26000,39.10900,39.16600,39.20400,39.24700,39.30300,39.35900,39.41600,
JPY,本行買入,0.19190,0.19870,0.19900,0.19910,0.19920,0.19920,0.19930,0.19940,0.19950,本行賣出,0.20470,0.20370,0.20300,0.20330,0.20340,0.20350,0.20370,0.20390,0.20400,
ZAR,本行買入,0.00000,1.79000,1.78400,1.77800,1.76900,1.76200,1.75400,1.74600,1.73800,本行賣出,0.00000,1.88000,1.86500,1.86000,1.85200,1.84500,1.83700,1.83000,1.82200,
SEK,本行買入,0.00000,3.27000,3.25900,3.25700,3.25600,3.25400,3.25200,3.25000,3.24700,本行賣出,0.00000,3.39000,3.36000,3.36100,3.36000,3.35900,3.35800,3.35700,3.35500,
NZD,本行買入,17.53000,17.86000,17.83100,17.81400,17.79600,17.78100,17.76200,17.74300,17.72400,本行賣出,18.38000,18.16000,18.04000,18.03900,18.02200,18.00800,17.99500,17.98200,17.96900,
THB,本行買入,0.84910,0.95950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03910,1.00550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.61000,36.12500,36.14200,36.12500,36.10200,36.08200,36.05500,36.02900,35.98700,本行賣出,36.95000,36.72500,36.54800,36.54500,36.52600,36.51100,36.49800,36.48600,36.47300,
KRW,本行買入,0.01966,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.57200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.09700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.34400,4.41100,4.41270,4.41200,4.40990,4.40850,4.40630,4.40340,4.40190,本行賣出,4.50600,4.47100,4.46340,4.46430,4.46270,4.46150,4.46110,4.46060,4.46020,
